datetime,league,home_team,away_team,goals,goal_minutes,goal_markets,final_home,final_away,ko_line,ko_over,ko_under
"31/07/2026 10:51","V-Soccer Spain La Liga - 12 mins [V]","Girona FC [V]","Real Madrid [V]","1H 8' (0-1) | 1H 14' (1-1) | 1H 31' (1-2) | 2H 51' (1-3) | 2H 56' (1-4) | 2H 73' (1-5) | 2H 87' (1-6)","1H 8' | 1H 14' | 1H 31' | 2H 51' | 2H 56' | 2H 73' | 2H 87'","1H 8' (0-1) Line 6/6.5 O 1.81 U 1.87 | 1H 14' (1-1) Line 6.5/7 O 1.72 U 1.97 | 1H 31' (1-2) Line 6.5/7 O 1.72 U 1.98 | 2H 51' (1-3) Line 6.5/7 O 1.85 U 1.83 | 2H 56' (1-4) Line 7/7.5 O 1.75 U 1.94 | 2H 73' (1-5) Line 7/7.5 O 1.86 U 1.82",1,6,5.5,1.87,1.81
"31/07/2026 10:55","V-Soccer Champions League - 12 mins [V]","Bayer 04 [V]","Barcelona [V]","1H 9' (1-0) | 1H 9' (2-0) | 2H 56' (2-1) | 2H 62' (2-2) | 2H 69' (2-3) | 2H 76' (2-4)","1H 9' | 1H 9' | 2H 56' | 2H 62' | 2H 69' | 2H 76'","1H 9' (1-0) Line 7/7.5 O 1.84 U 1.84 DEV! | 1H 9' (2-0) Line 7/7.5 O 1.84 U 1.84 | 2H 56' (2-1) Line 5.5 O 1.86 U 1.82 | 2H 62' (2-2) Line 5.5/6 O 1.65 U 1.09 | 2H 69' (2-3) Line 6.5/7 O 1.93 U 1.76 | 2H 76' (2-4) Line 7/7.5 O 1.86 U 1.82",2,4,5.5,1.79,1.90
"31/07/2026 10:58","V-Soccer China Super League - 12 mins [V]","Shenzhen FC [V]","Changchun Yatai [V]","1H 14' (1-0) | 1H 20' (1-1) | 1H 24' (2-1) | 2H 85' (3-1)","1H 14' | 1H 20' | 1H 24' | 2H 85'","1H 14' (1-0) Line 5.5/6 O 1.91 U 1.77 | 1H 20' (1-1) Line 6/6.5 O 1.81 U 1.87 | 1H 24' (2-1) Line 7/7.5 O 1.83 U 1.85",3,1,5/5.5,1.79,1.90
"31/07/2026 10:59","V-Soccer Copa Libertadores - 12 mins [V]","Colo-Colo [V]","Palmeiras [V]","2H 48' (0-1) | 2H 58' (0-2) | 2H 77' (1-2) | 2H 82' (2-2)","2H 48' | 2H 58' | 2H 77' | 2H 82'","2H 48' (0-1) Line 3.5/4 O 1.75 U 1.94 | 2H 58' (0-2) Line 4/4.5 O 1.81 U 1.87 | 2H 77' (1-2) Line 4/4.5 O 1.00 U 1.70",2,2,5/5.5,1.96,1.73
"31/07/2026 10:59","V-Soccer International Friendly - 12 mins [V]","Croatia [V]","Italy [V]","1H 5' (0-1) | 1H 7' (1-1) | 1H 14' (2-1) | 1H 28' (3-1) | 1H 35' (4-1) | 2H 55' (4-2) | 2H 62' (4-3) | 2H 72' (4-4)","1H 5' | 1H 7' | 1H 14' | 1H 28' | 1H 35' | 2H 55' | 2H 62' | 2H 72'","1H 5' (0-1) Line 7.5/8 O 1.77 U 1.92 | 1H 7' (1-1) Line 9.5/10 O 1.88 U 1.80 | 1H 14' (2-1) Line 9.5/10 O 1.72 U 1.98 | 1H 28' (3-1) Line 9.5/10 O 1.90 U 1.78 | 1H 35' (4-1) Line 9.5/10 O 1.69 U 1.02 | 2H 55' (4-2) Line 9/9.5 O 1.85 U 1.83 | 2H 62' (4-3) Line 9.5/10 O 1.94 U 1.75 | 2H 72' (4-4) Line 9.5/10 O 1.91 U 1.78",4,4,7.5/8,1.73,1.96
"31/07/2026 11:01","V-Soccer Germany Bundesliga - 12 mins [V]","SC Freiburg [V]","FC Heidenheim 1846 [V]","1H 19' (1-0) | 1H 26' (2-0) | 1H 29' (3-0) | 1H 40' (4-0) | 2H 55' (5-0) | 2H 73' (5-1) | 2H 84' (5-2)","1H 19' | 1H 26' | 1H 29' | 1H 40' | 2H 55' | 2H 73' | 2H 84'","1H 19' (1-0) Line 5/5.5 O 1.03 U 1.68 | 1H 26' (2-0) Line 5.5 O 1.77 U 1.92 | 1H 29' (3-0) Line 6.5 O 1.90 U 1.79 | 1H 40' (4-0) Line 7/7.5 O 1.88 U 1.80 | 2H 55' (5-0) Line 7.5 O 1.81 U 1.87 | 2H 73' (5-1) Line 7/7.5 O 1.02 U 1.69",5,2,4.5/5,1.91,1.78
"31/07/2026 11:02","V-Soccer France Ligue 1 - 12 mins [V]","PSG [V]","Monaco [V]","1H 7' (1-0) | 1H 17' (1-1) | 1H 45' (2-1) | 2H 55' (3-1) | 2H 65' (4-1) | 2H 93' (5-1)","1H 7' | 1H 17' | 1H 45' | 2H 55' | 2H 65' | 2H 93'","1H 7' (1-0) Line 7.5/8 O 1.87 U 1.81 | 1H 17' (1-1) Line 7.5/8 O 1.79 U 1.89 | 1H 45' (2-1) Line 6.5 O 1.87 U 1.81 | 2H 55' (3-1) Line 6.5/7 O 1.73 U 1.97 | 2H 65' (4-1) Line 6.5/7 O 1.63 U 1.11",5,1,6.5/7,1.75,1.94
"31/07/2026 11:03","V-Soccer Korea K-League 1 - 12 mins [V]","Jeju United [V]","Gangwon FC [V]","1H 5' (0-1) | 1H 21' (0-2) | 1H 36' (0-3) | 2H 68' (0-4) | 2H 74' (1-4) | 2H 76' (2-4) | 2H 83' (3-4)","1H 5' | 1H 21' | 1H 36' | 2H 68' | 2H 74' | 2H 76' | 2H 83'","1H 5' (0-1) Line 6.5/7 O 1.76 U 1.93 | 1H 21' (0-2) Line 5.5/6 O 1.73 U 1.96 | 1H 36' (0-3) Line 6.5/7 O 1.86 U 1.82 | 2H 68' (0-4) Line 5.5/6 O 1.87 U 1.81 | 2H 74' (1-4) Line 6/6.5 O 1.86 U 1.82",3,4,5.5/6,1.74,1.95
"31/07/2026 11:04","V-Soccer Women’s Nations League - 12 mins [V]","United States W [V]","Spain W [V]","1H 8' (1-0) | 1H 29' (1-1) | 1H 45' (1-2) | 2H 55' (2-2) | 2H 64' (3-2) | 2H 71' (4-2) | 2H 76' (4-3) | 2H 79' (5-3) | 2H 90' (6-3)","1H 8' | 1H 29' | 1H 45' | 2H 55' | 2H 64' | 2H 71' | 2H 76' | 2H 79' | 2H 90'","1H 8' (1-0) Line 8/8.5 O 1.91 U 1.78 | 1H 29' (1-1) Line 7/7.5 O 1.90 U 1.79 | 1H 45' (1-2) Line 6.5/7 O 1.86 U 1.82 | 2H 55' (2-2) Line 7/7.5 O 1.92 U 1.77 | 2H 64' (3-2) Line 7/7.5 O 1.82 U 1.86 | 2H 71' (4-2) Line 7.5/8 O 1.92 U 1.77",6,3,7.5,1.89,1.79
"31/07/2026 11:05","V-Soccer Italy Serie A - 12 mins [V]","Inter Milan [V]","Juventus [V]","1H 8' (0-1) | 1H 11' (1-1) | 1H 42' (1-2) | 2H 62' (2-2) | 2H 78' (2-3) | 2H 83' (2-4)","1H 8' | 1H 11' | 1H 42' | 2H 62' | 2H 78' | 2H 83'","1H 8' (0-1) Line 6.5/7 O 1.91 U 1.77 | 1H 11' (1-1) Line 7.5 O 1.90 U 1.79 | 1H 42' (1-2) Line 6/6.5 O 1.88 U 1.81 | 2H 62' (2-2) Line 6/6.5 O 1.04 U 1.68",2,4,5.5/6,1.75,1.94
"31/07/2026 11:06","V-Soccer Argentina Liga Profesional - 12 mins [V]","Independiente [V]","Defensa [V]","1H 9' (1-0) | 1H 19' (2-0) | 1H 25' (2-1) | 2H 55' (3-1) | 2H 66' (4-1) | 2H 68' (4-2)","1H 9' | 1H 19' | 1H 25' | 2H 55' | 2H 66' | 2H 68'","1H 9' (1-0) Line 6.5/7 O 1.80 U 1.88 | 1H 19' (2-0) Line 6.5/7 O 1.71 U 1.99 | 1H 25' (2-1) Line 7.5 O 1.83 U 1.85 | 2H 55' (3-1) Line 6.5 O 1.83 U 1.85 | 2H 66' (4-1) Line 6.5/7 O 1.87 U 1.81 | 2H 68' (4-2) Line 7.5 O 1.79 U 1.89",4,2,6/6.5,1.94,1.75
"31/07/2026 11:07","V-Soccer Spain La Liga - 12 mins [V]","Real Sociedad [V]","D. Alaves [V]","1H 15' (0-1) | 1H 22' (0-2) | 1H 38' (1-2) | 1H 42' (1-3) | 2H 66' (2-3)","1H 15' | 1H 22' | 1H 38' | 1H 42' | 2H 66'","1H 15' (0-1) Line 6/6.5 O 1.88 U 1.80 | 1H 22' (0-2) Line 6.5/7 O 1.82 U 1.86 | 1H 38' (1-2) Line 6.5 O 1.81 U 1.87 | 1H 42' (1-3) Line 7/7.5 O 1.75 U 1.94 | 2H 66' (2-3) Line 6.5/7 O 1.80 U 1.88",2,3,5.5/6,1.73,1.97
