logged_at,league,home_team,away_team,minute,score,ht,ht_total,live_line,live_over,live_under,ko_line,ko_over,ko_under
31/07/2026 19:16,V-Soccer Germany Bundesliga - 12 mins [V],Vfb Stuttgart [V],TSG Hoffenheim [V],46,2-0,2-0,2,4.5,1.82,1.86,5/5.5,1.90,1.78
31/07/2026 19:16,V-Soccer France Ligue 1 - 12 mins [V],Monaco [V],Stade Rennais FC [V],45,1-0,1-0,1,3.5/4,1.66,1.07,6/6.5,1.99,1.71
31/07/2026 19:18,V-Soccer Champions League - 12 mins [V],Monaco [V],Borussia Dortmund [V],45,2-1,2-1,3,5.5/6,1.76,1.93,5.5/6,1.86,1.82
